height,depth,position,value
11.18676069,0.98267833,0.98267833,124.6465763
11.18753384,0.98190518,0.98190518,130.0977175
11.18830699,0.98113203,0.98113203,133.8232881
11.18908015,0.98035887,0.98035887,136.8232881
11.1898533,0.97958572,0.97958572,140.6465763
11.19062646,0.97881256,0.97881256,148.0187232
11.19139961,0.97803941,0.97803941,157.3721469
11.19217276,0.97726626,0.97726626,161
11.19294592,0.9764931,0.9764931,161
11.19371907,0.97571995,0.97571995,161.8232881
11.19449222,0.9749468,0.9749468,164.5488588
11.19526538,0.97417364,0.97417364,166.2744294
11.19603853,0.97340049,0.97340049,166.7255706
11.19681168,0.97262734,0.97262734,164.9022825
11.19758484,0.97185418,0.97185418,161.4511412
11.19835799,0.97108103,0.97108103,159.4511412
11.19913115,0.97030787,0.97030787,157.7255706
11.1999043,0.96953472,0.96953472,159.1954351
11.20067745,0.96876157,0.96876157,168.0187232
11.20145061,0.96798841,0.96798841,178.4698644
11.20222376,0.96721526,0.96721526,187.4698644
11.20299691,0.96644211,0.96644211,197.567582
11.20377007,0.96566895,0.96566895,200.1392655
11.20454322,0.9648958,0.9648958,179.8045649
11.20531638,0.96412264,0.96412264,173.4511412
11.20608953,0.96334949,0.96334949,172.8232881
11.20686268,0.96257634,0.96257634,175.8232881
11.20763584,0.96180318,0.96180318,177.7255706
11.20840899,0.96103003,0.96103003,175.9022825
11.20918214,0.96025688,0.96025688,173
11.2099553,0.95948372,0.95948372,172.7255706
11.21072845,0.95871057,0.95871057,171.7255706
11.21150161,0.95793741,0.95793741,170.7255706
11.21227476,0.95716426,0.95716426,170.2744294
11.21304791,0.95639111,0.95639111,171.8232881
11.21382107,0.95561795,0.95561795,174.5488588
11.21459422,0.9548448,0.9548448,176.5488588
11.21536737,0.95407165,0.95407165,178
11.21614053,0.95329849,0.95329849,179.3721469
11.21691368,0.95252534,0.95252534,183
11.21768683,0.95175219,0.95175219,181.3534237
11.21845999,0.95097903,0.95097903,177.2744294
11.21923314,0.95020588,0.95020588,178.5488588
11.2200063,0.94943272,0.94943272,180.5488588
11.22077945,0.94865957,0.94865957,182.2744294
11.2215526,0.94788642,0.94788642,183.2744294
11.22232576,0.94711326,0.94711326,182.9022825
11.22309891,0.94634011,0.94634011,178.0789943
11.22387206,0.94556696,0.94556696,173
11.22464522,0.9447938,0.9447938,173.5488588
11.22541837,0.94402065,0.94402065,174.7255706
11.22619153,0.94324749,0.94324749,173.7255706
11.22696468,0.94247434,0.94247434,172.4511412
11.22773783,0.94170119,0.94170119,171
11.22851099,0.94092803,0.94092803,170.7255706
11.22928414,0.94015488,0.94015488,169.7255706
11.23005729,0.93938173,0.93938173,168.7255706
11.23083045,0.93860857,0.93860857,166.9022825
11.2316036,0.93783542,0.93783542,162.9022825
11.23237675,0.93706227,0.93706227,159.7255706
11.23314991,0.93628911,0.93628911,157.9022825
11.23392306,0.93551596,0.93551596,154.7255706
11.23469622,0.9347428,0.9347428,155.6465763
11.23546937,0.93396965,0.93396965,159.4511412
11.23624252,0.9331965,0.9331965,157.1767119
11.23701568,0.93242334,0.93242334,155
11.23778883,0.93165019,0.93165019,154.7255706
11.23856198,0.93087704,0.93087704,153.4511412
11.23933514,0.93010388,0.93010388,152.2744294
11.24010829,0.92933073,0.92933073,152.7255706
11.24088145,0.92855757,0.92855757,151.1767119
11.2416546,0.92778442,0.92778442,149.2744294
11.24242775,0.92701127,0.92701127,150.5488588
11.24320091,0.92623811,0.92623811,152
11.24397406,0.92546496,0.92546496,152.2744294
11.24474721,0.92469181,0.92469181,153
11.24552037,0.92391865,0.92391865,153.5488588
11.24629352,0.9231455,0.9231455,155.5488588
11.24706667,0.92237235,0.92237235,156.7255706
11.24783983,0.92159919,0.92159919,155.7255706
11.24861298,0.92082604,0.92082604,153.9022825
11.24938614,0.92005288,0.92005288,150.1767119
11.25015929,0.91927973,0.91927973,147.7255706
11.25093244,0.91850658,0.91850658,147.5488588
11.2517056,0.91773342,0.91773342,149.5488588
11.25247875,0.91696027,0.91696027,151.2744294
11.2532519,0.91618712,0.91618712,151.4511412
11.25402506,0.91541396,0.91541396,149.1767119
11.25479821,0.91464081,0.91464081,146.7255706
11.25557137,0.91386765,0.91386765,146.2744294
11.25634452,0.9130945,0.9130945,147
